"board_index","board_name","width","height","total_mines","selections","opened_safe","opened_mines","cycles","cfg_cycles","load_cycles","solver_cycles","score_cycles","total_board_cycles","score_numerator","score_denominator","score_scaled","score","solver_stalled"
"943","board_7x14_17_29130_none","7","14","17","32","81","1","9459","3","98","9459","37","9599","1296","1377","9411","0.9411","0"
"944","board_4x19_17_29151_none","4","19","17","33","59","1","10145","3","76","10145","37","10263","944","1003","9411","0.9411","0"
"945","board_4x18_18_29171_none","4","18","18","42","54","2","40375","3","72","40375","37","40489","864","972","8888","0.8888","0"
"946","board_9x5_6_29191_none","9","5","6","4","39","0","3503","3","45","3503","37","3590","234","234","10000","1.0000","0"
"947","board_10x4_7_29198_none","10","4","7","15","33","0","31809","3","40","31809","37","31891","231","231","10000","1.0000","0"
"948","board_12x4_12_29206_none","12","4","12","25","36","2","12753","3","48","12753","37","12843","360","432","8333","0.8333","0"
"949","board_14x5_18_29221_none","14","5","18","36","45","2","83055","3","70","83055","37","83167","706","936","7542","0.7542","1"
"950","board_19x18_50_29242_none","19","18","50","118","292","0","18573","3","342","18573","37","18957","14600","14600","10000","1.0000","0"
"951","board_18x18_85_29299_none","18","18","85","81","117","3","160082","3","324","160082","37","160448","9228","20315","4542","0.4542","1"
"952","board_12x6_11_29398_none","12","6","11","24","61","0","5610","3","72","5610","37","5724","671","671","10000","1.0000","0"
"953","board_7x5_9_29410_none","7","5","9","23","26","2","26584","3","35","26584","37","26661","182","234","7777","0.7777","0"
"954","board_4x12_7_29422_none","4","12","7","21","41","0","13199","3","48","13199","37","13289","287","287","10000","1.0000","0"
"955","board_5x19_26_29431_none","5","19","26","45","69","1","35025","3","95","35025","37","35162","1725","1794","9615","0.9615","0"
"956","board_6x19_29_29461_none","6","19","29","59","83","4","125792","3","114","125792","37","125948","2067","2465","8385","0.8385","1"
"957","board_14x6_15_29496_none","14","6","15","29","69","0","13047","3","84","13047","37","13173","1035","1035","10000","1.0000","0"
"958","board_16x4_16_29512_none","16","4","16","32","48","2","27977","3","64","27977","37","28083","672","768","8750","0.8750","0"
"959","board_18x4_19_29529_none","18","4","19","38","53","0","30226","3","72","30226","37","30340","1007","1007","10000","1.0000","0"
"960","board_19x12_32_29552_none","19","12","32","66","196","1","35143","3","228","35143","37","35413","6076","6272","9687","0.9687","0"
"961","board_16x19_80_29590_none","16","19","80","130","156","5","382699","3","304","382699","37","383045","11360","17920","6339","0.6339","1"
"962","board_14x18_51_29683_none","14","18","51","77","183","1","181537","3","252","181537","37","181831","9132","10251","8908","0.8908","1"
"963","board_7x6_9_29747_none","7","6","9","19","33","1","6652","3","42","6652","37","6736","264","297","8888","0.8888","0"
"964","board_4x8_4_29757_none","4","8","4","12","28","0","3465","3","32","3465","37","3539","112","112","10000","1.0000","0"
"965","board_6x16_20_29762_none","6","16","20","36","76","1","44819","3","96","44819","37","44957","1444","1520","9500","0.9500","0"
"966","board_11x19_44_29784_none","11","19","44","95","165","0","54243","3","209","54243","37","54494","7260","7260","10000","1.0000","0"
"967","board_18x8_30_29834_none","18","8","30","63","114","0","126463","3","144","126463","37","126649","3420","3420","10000","1.0000","0"
"968","board_19x4_18_29868_none","19","4","18","38","46","1","98601","3","76","98601","37","98719","770","1044","7375","0.7375","1"
"969","board_18x8_20_29890_none","18","8","20","38","124","0","12030","3","144","12030","37","12216","2480","2480","10000","1.0000","0"
"970","board_18x10_26_29913_none","18","10","26","61","154","2","27052","3","180","27052","37","27274","3696","4004","9230","0.9230","0"
"971","board_17x12_35_29944_none","17","12","35","81","169","0","12488","3","204","12488","37","12734","5915","5915","10000","1.0000","0"
"972","board_10x19_41_29983_none","10","19","41","102","149","3","81918","3","190","81918","37","82150","5662","6109","9268","0.9268","0"
"973","board_9x19_29_30032_none","9","19","29","53","142","0","19106","3","171","19106","37","19319","4118","4118","10000","1.0000","0"
"974","board_4x8_8_30065_none","4","8","8","10","24","0","5881","3","32","5881","37","5955","192","192","10000","1.0000","0"
"975","board_4x5_5_30076_none","4","5","5","7","15","2","2536","3","20","2536","37","2598","45","75","6000","0.6000","0"
"976","board_7x8_8_30084_none","7","8","8","19","48","0","3243","3","56","3243","37","3341","384","384","10000","1.0000","0"
"977","board_10x14_35_30093_none","10","14","35","70","105","2","83874","3","140","83874","37","84056","3465","3675","9428","0.9428","0"
"978","board_12x18_58_30137_none","12","18","58","111","153","4","255302","3","216","255302","37","255560","8242","9164","8993","0.8993","1"
"979","board_17x19_46_30204_none","17","19","46","90","277","1","90441","3","323","90441","37","90806","12465","12742","9782","0.9782","0"
"980","board_19x6_32_30259_none","19","6","32","61","82","3","140646","3","114","140646","37","140802","2378","2624","9062","0.9062","0"
"981","board_15x6_13_30301_none","15","6","13","40","77","0","12685","3","90","12685","37","12817","1001","1001","10000","1.0000","0"
"982","board_12x10_26_30315_none","12","10","26","60","94","2","28694","3","120","28694","37","28856","2256","2444","9230","0.9230","0"
"983","board_6x19_20_30346_none","6","19","20","55","94","0","32354","3","114","32354","37","32510","1880","1880","10000","1.0000","0"
"984","board_4x14_11_30367_none","4","14","11","31","45","1","36208","3","56","36208","37","36306","450","495","9090","0.9090","0"
"985","board_7x4_5_30379_none","7","4","5","18","23","0","21872","3","28","21872","37","21942","115","115","10000","1.0000","0"
"986","board_12x8_21_30385_none","12","8","21","54","75","3","258381","3","96","258381","37","258519","1350","1575","8571","0.8571","0"
"987","board_15x12_47_30411_none","15","12","47","93","133","2","73502","3","180","73502","37","73724","5985","6251","9574","0.9574","0"
"988","board_18x18_65_30464_none","18","18","65","99","244","3","181944","3","324","181944","37","182310","15083","16835","8959","0.8959","1"
"989","board_18x19_60_30536_none","18","19","60","132","282","0","35232","3","342","35232","37","35616","16920","16920","10000","1.0000","0"
"990","board_19x19_53_30603_none","19","19","53","91","308","3","87790","3","361","87790","37","88193","15400","16324","9433","0.9433","0"
"991","board_18x12_58_30666_none","18","12","58","83","107","4","281084","3","216","281084","37","281342","5574","9164","6082","0.6082","1"
"992","board_15x5_13_30734_none","15","5","13","27","62","1","32676","3","75","32676","37","32793","744","806","9230","0.9230","0"
"993","board_8x8_15_30748_none","8","8","15","45","49","3","68848","3","64","68848","37","68954","588","735","8000","0.8000","0"
"994","board_4x19_10_30764_none","4","19","10","19","66","0","12975","3","76","12975","37","13093","660","660","10000","1.0000","0"
"995","board_6x14_22_30776_none","6","14","22","42","62","3","97753","3","84","97753","37","97879","1178","1364","8636","0.8636","0"
"996","board_7x12_22_30799_none","7","12","22","38","53","3","123287","3","84","123287","37","123413","980","1364","7184","0.7184","1"
